UMP-45 | Caramel (Factory New)|Consumer Grade|UMP-45|0.09|0.11|84.00
AUG | Hot Rod (Factory New)|Mil-Spec|AUG|0.00|0.84|44.00
Glock-18 | Fade (Factory New)|Restricted|Glock-18|0.08|0.78|59.00
MP9 | Bulldozer (Factory New)|Restricted|MP9|0.15|0.75|255.00
SG 553 | Tornado (Factory New)|Consumer Grade|SG 553|0.61|0.24|38.00
Negev | Anodized Navy (Factory New)|Mil-Spec|Negev|0.10|0.10|71.00
Five-SeveN | Candy Apple (Factory New)|Industrial Grade|Five-SeveN|0.15|0.11|80.00
FAMAS | Contrast Spray (Factory New)|Consumer Grade|FAMAS|0.17|0.02|255.00
M249 | Blizzard Marbleized (Factory New)|Industrial Grade|M249|0.06|0.28|81.00
MP7 | Whiteout (Factory New)|Mil-Spec|MP7|0.17|0.00|255.00
P2000 | Silver (Factory New)|Mil-Spec|P2000|0.15|0.11|84.00
G3SG1 | Arctic Camo (Factory New)|Industrial Grade|G3SG1|0.17|0.02|255.00
Galil AR | Winter Forest (Factory New)|Industrial Grade|Galil AR|0.12|0.10|123.00
XM1014 | Fallout Warning (Factory New)|Industrial Grade|XM1014|0.65|0.11|80.00
Souvenir XM1014 | Fallout Warning (Factory New)|Industrial Grade|XM1014|0.65|0.11|80.00
M4A4 | Radiation Hazard (Factory New)|Mil-Spec|M4A4|0.00|0.20|5.00
Souvenir M4A4 | Radiation Hazard (Factory New)|Mil-Spec|M4A4|0.00|0.20|5.00
UMP-45 | Fallout Warning (Factory New)|Industrial Grade|UMP-45|0.10|0.11|64.00
Souvenir UMP-45 | Fallout Warning (Factory New)|Industrial Grade|UMP-45|0.10|0.11|64.00
PP-Bizon | Irradiated Alert (Factory New)|Consumer Grade|PP-Bizon|0.09|0.37|63.00
Souvenir PP-Bizon | Irradiated Alert (Factory New)|Consumer Grade|PP-Bizon|0.09|0.37|63.00
P90 | Fallout Warning (Factory New)|Industrial Grade|P90|0.62|0.05|82.00
Souvenir P90 | Fallout Warning (Factory New)|Industrial Grade|P90|0.62|0.05|82.00
Tec-9 | Nuclear Threat (Factory New)|Restricted|Tec-9|0.28|0.31|77.00
Souvenir Tec-9 | Nuclear Threat (Factory New)|Restricted|Tec-9|0.28|0.31|77.00
P250 | Nuclear Threat (Factory New)|Restricted|P250|0.29|0.31|70.00
Souvenir P250 | Nuclear Threat (Factory New)|Restricted|P250|0.29|0.31|70.00
Sawed-Off | Irradiated Alert (Factory New)|Consumer Grade|Sawed-Off|0.12|0.37|62.00
Souvenir Sawed-Off | Irradiated Alert (Factory New)|Consumer Grade|Sawed-Off|0.12|0.37|62.00
MAG-7 | Irradiated Alert (Factory New)|Consumer Grade|MAG-7|0.48|0.13|85.00
Souvenir MAG-7 | Irradiated Alert (Factory New)|Consumer Grade|MAG-7|0.48|0.13|85.00
SCAR-20 | Splash Jam (Factory New)|Classified|SCAR-20|0.08|0.11|55.00
Nova | Modern Hunter (Factory New)|Mil-Spec|Nova|0.11|0.11|53.00
PP-Bizon | Forest Leaves (Factory New)|Consumer Grade|PP-Bizon|0.13|0.58|112.00
PP-Bizon | Modern Hunter (Factory New)|Mil-Spec|PP-Bizon|0.11|0.11|53.00
XM1014 | Blaze Orange (Factory New)|Mil-Spec|XM1014|0.09|0.54|139.00
P250 | Modern Hunter (Factory New)|Mil-Spec|P250|0.13|0.22|167.00
MAC-10 | Tornado (Factory New)|Consumer Grade|MAC-10|0.10|0.31|189.00
Nova | Blaze Orange (Factory New)|Mil-Spec|Nova|0.10|0.11|46.00
XM1014 | Grassland (Factory New)|Consumer Grade|XM1014|0.10|0.41|61.00
P2000 | Grassland Leaves (Factory New)|Industrial Grade|P2000|0.17|0.21|94.00
M4A4 | Modern Hunter (Factory New)|Restricted|M4A4|0.14|0.22|172.00
Nova | Walnut (Factory New)|Consumer Grade|Nova|0.58|0.03|65.00
Souvenir Nova | Walnut (Factory New)|Consumer Grade|Nova|0.58|0.03|65.00
M4A4 | Tornado (Factory New)|Industrial Grade|M4A4|0.60|0.21|132.00
Souvenir M4A4 | Tornado (Factory New)|Industrial Grade|M4A4|0.60|0.21|132.00
Tec-9 | Brass (Factory New)|Mil-Spec|Tec-9|0.50|0.04|56.00
Souvenir Tec-9 | Brass (Factory New)|Mil-Spec|Tec-9|0.50|0.04|56.00
P250 | Gunsmoke (Factory New)|Industrial Grade|P250|0.11|0.14|210.00
Souvenir P250 | Gunsmoke (Factory New)|Industrial Grade|P250|0.11|0.14|210.00
Dual Berettas | Anodized Navy (Factory New)|Mil-Spec|Dual Berettas|0.00|0.00|30.00
Souvenir Dual Berettas | Anodized Navy (Factory New)|Mil-Spec|Dual Berettas|0.00|0.00|30.00
MAG-7 | Sand Dune (Factory New)|Consumer Grade|MAG-7|0.17|0.02|255.00
Souvenir MAG-7 | Sand Dune (Factory New)|Consumer Grade|MAG-7|0.17|0.02|255.00
AK-47 | Black Laminate (Factory New)|Mil-Spec|AK-47|0.17|0.08|61.00
Souvenir AK-47 | Black Laminate (Factory New)|Mil-Spec|AK-47|0.17|0.08|61.00
