UMP-45 | Caramel (Factory New)|Consumer Grade|1|UMP-45|0.11|0.28|98.00
AUG | Hot Rod (Factory New)|Mil-Spec|2|AUG|0.04|0.16|81.00
Glock-18 | Fade (Factory New)|Restricted|3|Glock-18|0.01|0.32|73.00
MP9 | Bulldozer (Factory New)|Restricted|4|MP9|0.15|0.70|210.00
SG 553 | Tornado (Factory New)|Consumer Grade|5|SG 553|0.12|0.04|111.00
Negev | Anodized Navy (Factory New)|Mil-Spec|6|Negev|0.56|0.05|58.00
Five-SeveN | Candy Apple (Factory New)|Industrial Grade|7|Five-SeveN|0.01|0.59|147.00
FAMAS | Contrast Spray (Factory New)|Consumer Grade|8|FAMAS|0.12|0.10|126.00
M249 | Blizzard Marbleized (Factory New)|Industrial Grade|9|M249|0.19|0.04|160.00
MP7 | Whiteout (Factory New)|Mil-Spec|10|MP7|0.14|0.09|207.00
P2000 | Silver (Factory New)|Mil-Spec|11|P2000|0.20|0.04|119.00
G3SG1 | Arctic Camo (Factory New)|Industrial Grade|12|G3SG1|0.23|0.05|96.00
Galil AR | Winter Forest (Factory New)|Industrial Grade|13|Galil AR|0.17|0.05|144.00
XM1014 | Fallout Warning (Factory New)|Industrial Grade|14|XM1014|0.99|0.29|82.00
Souvenir XM1014 | Fallout Warning (Factory New)|Industrial Grade|14|XM1014|0.99|0.29|82.00
M4A4 | Radiation Hazard (Factory New)|Mil-Spec|15|M4A4|0.02|0.44|97.00
Souvenir M4A4 | Radiation Hazard (Factory New)|Mil-Spec|15|M4A4|0.02|0.44|97.00
UMP-45 | Fallout Warning (Factory New)|Industrial Grade|16|UMP-45|0.01|0.30|88.00
Souvenir UMP-45 | Fallout Warning (Factory New)|Industrial Grade|16|UMP-45|0.01|0.30|88.00
PP-Bizon | Irradiated Alert (Factory New)|Consumer Grade|17|PP-Bizon|0.09|0.32|84.00
Souvenir PP-Bizon | Irradiated Alert (Factory New)|Consumer Grade|17|PP-Bizon|0.09|0.32|84.00
P90 | Fallout Warning (Factory New)|Industrial Grade|18|P90|0.02|0.24|88.00
Souvenir P90 | Fallout Warning (Factory New)|Industrial Grade|18|P90|0.02|0.24|88.00
Tec-9 | Nuclear Threat (Factory New)|Restricted|19|Tec-9|0.28|0.47|100.00
Souvenir Tec-9 | Nuclear Threat (Factory New)|Restricted|19|Tec-9|0.28|0.47|100.00
P250 | Nuclear Threat (Factory New)|Restricted|20|P250|0.31|0.50|106.00
Souvenir P250 | Nuclear Threat (Factory New)|Restricted|20|P250|0.31|0.50|106.00
Sawed-Off | Irradiated Alert (Factory New)|Consumer Grade|21|Sawed-Off|0.08|0.39|83.00
Souvenir Sawed-Off | Irradiated Alert (Factory New)|Consumer Grade|21|Sawed-Off|0.08|0.39|83.00
MAG-7 | Irradiated Alert (Factory New)|Consumer Grade|22|MAG-7|0.09|0.33|80.00
Souvenir MAG-7 | Irradiated Alert (Factory New)|Consumer Grade|22|MAG-7|0.09|0.33|80.00
SCAR-20 | Splash Jam (Factory New)|Classified|23|SCAR-20|0.96|0.21|72.00
Nova | Modern Hunter (Factory New)|Mil-Spec|24|Nova|0.12|0.18|121.00
PP-Bizon | Forest Leaves (Factory New)|Consumer Grade|25|PP-Bizon|0.14|0.44|85.00
PP-Bizon | Modern Hunter (Factory New)|Mil-Spec|26|PP-Bizon|0.12|0.24|130.00
XM1014 | Blaze Orange (Factory New)|Mil-Spec|27|XM1014|0.05|0.65|144.00
P250 | Modern Hunter (Factory New)|Mil-Spec|28|P250|0.13|0.24|149.00
MAC-10 | Tornado (Factory New)|Consumer Grade|29|MAC-10|0.11|0.20|153.00
Nova | Blaze Orange (Factory New)|Mil-Spec|30|Nova|0.06|0.56|133.00
XM1014 | Grassland (Factory New)|Consumer Grade|31|XM1014|0.12|0.30|155.00
P2000 | Grassland Leaves (Factory New)|Industrial Grade|32|P2000|0.12|0.29|117.00
M4A4 | Modern Hunter (Factory New)|Restricted|33|M4A4|0.13|0.21|126.00
Nova | Walnut (Factory New)|Consumer Grade|34|Nova|0.12|0.06|71.00
Souvenir Nova | Walnut (Factory New)|Consumer Grade|34|Nova|0.12|0.06|71.00
M4A4 | Tornado (Factory New)|Industrial Grade|35|M4A4|0.11|0.19|149.00
Souvenir M4A4 | Tornado (Factory New)|Industrial Grade|35|M4A4|0.11|0.19|149.00
Tec-9 | Brass (Factory New)|Mil-Spec|36|Tec-9|0.14|0.35|62.00
Souvenir Tec-9 | Brass (Factory New)|Mil-Spec|36|Tec-9|0.14|0.35|62.00
P250 | Gunsmoke (Factory New)|Industrial Grade|37|P250|0.09|0.19|146.00
Souvenir P250 | Gunsmoke (Factory New)|Industrial Grade|37|P250|0.09|0.19|146.00
Dual Berettas | Anodized Navy (Factory New)|Mil-Spec|38|Dual Berettas|0.58|0.19|73.00
Souvenir Dual Berettas | Anodized Navy (Factory New)|Mil-Spec|38|Dual Berettas|0.58|0.19|73.00
MAG-7 | Sand Dune (Factory New)|Consumer Grade|39|MAG-7|0.11|0.29|174.00
Souvenir MAG-7 | Sand Dune (Factory New)|Consumer Grade|39|MAG-7|0.11|0.29|174.00
AK-47 | Black Laminate (Factory New)|Mil-Spec|40|AK-47|0.17|0.05|73.00
Souvenir AK-47 | Black Laminate (Factory New)|Mil-Spec|40|AK-47|0.17|0.05|73.00
PP-Bizon | Carbon Fiber (Factory New)|Industrial Grade|41|PP-Bizon|0.25|0.04|55.00
Souvenir PP-Bizon | Carbon Fiber (Factory New)|Industrial Grade|41|PP-Bizon|0.25|0.04|55.00
MAC-10 | Urban DDPAT (Factory New)|Consumer Grade|42|MAC-10|0.12|0.10|114.00
Souvenir MAC-10 | Urban DDPAT (Factory New)|Consumer Grade|42|MAC-10|0.12|0.10|114.00
P90 | Glacier Mesh (Factory New)|Mil-Spec|43|P90|0.42|0.05|146.00
Souvenir P90 | Glacier Mesh (Factory New)|Mil-Spec|43|P90|0.42|0.05|146.00
XM1014 | Urban Perforated (Factory New)|Consumer Grade|45|XM1014|0.14|0.07|97.00
Souvenir XM1014 | Urban Perforated (Factory New)|Consumer Grade|45|XM1014|0.14|0.07|97.00
M4A4 | Jungle Tiger (Factory New)|Industrial Grade|46|M4A4|0.15|0.14|84.00
SSG 08 | Lichen Dashed (Factory New)|Consumer Grade|47|SSG 08|0.17|0.19|74.00
Five-SeveN | Jungle (Factory New)|Consumer Grade|48|Five-SeveN|0.24|0.33|147.00
Tec-9 | Ossified (Factory New)|Mil-Spec|49|Tec-9|0.22|0.33|51.00
Nova | Forest Leaves (Factory New)|Consumer Grade|50|Nova|0.15|0.40|81.00
AK-47 | Jungle Spray (Factory New)|Industrial Grade|51|AK-47|0.19|0.28|86.00
AK-47 | Predator (Factory New)|Industrial Grade|52|AK-47|0.10|0.39|82.00
SCAR-20 | Palm (Factory New)|Industrial Grade|53|SCAR-20|0.12|0.26|117.00
Sawed-Off | Copper (Factory New)|Mil-Spec|54|Sawed-Off|0.06|0.37|81.00
M4A4 | Desert Storm (Factory New)|Industrial Grade|55|M4A4|0.08|0.32|127.00
Glock-18 | Brass (Factory New)|Restricted|57|Glock-18|0.15|0.42|64.00
P2000 | Scorpion (Factory New)|Restricted|58|P2000|0.08|0.50|78.00
Desert Eagle | Blaze (Factory New)|Restricted|59|Desert Eagle|0.07|0.70|86.00
AWP | Snake Camo (Factory New)|Mil-Spec|60|AWP|0.11|0.21|90.00
AWP | BOOM (Factory New)|Classified|62|AWP|0.04|0.40|101.00
MAG-7 | Memento (Factory New)|Mil-Spec|63|MAG-7|0.09|0.26|65.00
Galil AR | Orange DDPAT (Factory New)|Restricted|64|Galil AR|0.09|0.32|94.00
P250 | Splash (Factory New)|Restricted|66|P250|0.07|0.62|117.00
Sawed-Off | Orange DDPAT (Factory New)|Restricted|67|Sawed-Off|0.09|0.35|83.00
M4A4 | Faded Zebra (Factory New)|Mil-Spec|68|M4A4|0.14|0.12|95.00
AK-47 | Red Laminate (Factory New)|Classified|69|AK-47|0.04|0.21|81.00
AWP | Lightning Strike (Factory New)|Covert|70|AWP|0.80|0.14|71.00
AUG | Wings (Factory New)|Mil-Spec|71|AUG|0.17|0.05|74.00
SG 553 | Ultraviolet (Factory New)|Mil-Spec|72|SG 553|0.76|0.34|71.00
AK-47 | Case Hardened (Factory New)|Classified|73|AK-47|0.07|0.14|72.00
Desert Eagle | Hypnotic (Factory New)|Classified|74|Desert Eagle|0.08|0.10|78.00
Glock-18 | Dragon Tattoo (Factory New)|Restricted|75|Glock-18|0.25|0.03|60.00
SCAR-20 | Emerald (Factory New)|Restricted|79|SCAR-20|0.36|0.21|57.00
MP7 | Groundwater (Factory New)|Consumer Grade|80|MP7|0.21|0.24|171.00
AUG | Anodized Navy (Factory New)|Mil-Spec|81|AUG|0.42|0.03|76.00
FAMAS | Spitfire (Factory New)|Restricted|82|FAMAS|0.10|0.32|99.00
PP-Bizon | Rust Coat (Factory New)|Mil-Spec|83|PP-Bizon|0.33|0.01|69.00
XM1014 | Jungle (Factory New)|Consumer Grade|84|XM1014|0.27|0.28|127.00
Five-SeveN | Anodized Gunmetal (Factory New)|Consumer Grade|85|Five-SeveN|0.14|0.09|67.00
P250 | Facets (Factory New)|Industrial Grade|86|P250|0.12|0.09|92.00
MP9 | Dry Season (Factory New)|Consumer Grade|87|MP9|0.11|0.41|116.00
Sawed-Off | Mosaico (Factory New)|Industrial Grade|88|Sawed-Off|0.11|0.31|102.00
MAG-7 | Hazard (Factory New)|Mil-Spec|89|MAG-7|0.13|0.54|101.00
Negev | Palm (Factory New)|Industrial Grade|90|Negev|0.12|0.28|123.00
Tec-9 | Tornado (Factory New)|Consumer Grade|91|Tec-9|0.11|0.15|117.00
M249 | Jungle DDPAT (Factory New)|Consumer Grade|92|M249|0.16|0.28|89.00
SSG 08 | Mayan Dreams (Factory New)|Industrial Grade|93|SSG 08|0.10|0.24|78.00
Glock-18 | Sand Dune (Factory New)|Industrial Grade|94|Glock-18|0.11|0.29|190.00
USP-S | Overgrowth (Factory New)|Restricted|95|USP-S|0.20|0.43|122.00
AWP | Graphite (Factory New)|Classified|96|AWP|0.17|0.03|58.00
G3SG1 | Demeter (Factory New)|Mil-Spec|97|G3SG1|0.47|0.07|69.00
Galil AR | Shattered (Factory New)|Mil-Spec|98|Galil AR|0.11|0.07|131.00
SG 553 | Wave Spray (Factory New)|Mil-Spec|99|SG 553|0.55|0.18|103.00
AK-47 | Fire Serpent (Factory New)|Covert|100|AK-47|0.19|0.17|87.00
UMP-45 | Bone Pile (Factory New)|Mil-Spec|101|UMP-45|0.19|0.24|98.00
MAC-10 | Graven (Factory New)|Restricted|102|MAC-10|0.18|0.45|85.00
P2000 | Ocean Foam (Factory New)|Classified|103|P2000|0.58|0.19|105.00
Dual Berettas | Black Limba (Factory New)|Mil-Spec|104|Dual Berettas|0.10|0.16|75.00
M4A4 | Zirka (Factory New)|Restricted|105|M4A4|0.13|0.30|76.00
Desert Eagle | Golden Koi (Factory New)|Covert|106|Desert Eagle|0.16|0.14|119.00
P90 | Emerald Dragon (Factory New)|Classified|107|P90|0.19|0.16|94.00
Nova | Tempest (Factory New)|Mil-Spec|108|Nova|0.61|0.44|102.00
SSG 08 | Blood in the Water (Factory New)|Covert|110|SSG 08|0.10|0.10|69.00
USP-S | Serum (Factory New)|Classified|111|USP-S|0.06|0.26|50.00
M4A1-S | Blood Tiger (Factory New)|Mil-Spec|112|M4A1-S|0.08|0.22|73.00
MP9 | Hypnotic (Factory New)|Restricted|113|MP9|0.10|0.11|62.00
P90 | Cold Blooded (Factory New)|Classified|114|P90|0.02|0.41|78.00
Dual Berettas | Hemoglobin (Factory New)|Restricted|115|Dual Berettas|0.02|0.48|89.00
P250 | Hive (Factory New)|Mil-Spec|116|P250|0.04|0.62|78.00
Five-SeveN | Case Hardened (Factory New)|Restricted|117|Five-SeveN|0.33|0.04|73.00
FAMAS | Hexane (Factory New)|Mil-Spec|118|FAMAS|0.62|0.18|65.00
Tec-9 | Blue Titanium (Factory New)|Mil-Spec|119|Tec-9|0.57|0.23|65.00
Nova | Graphite (Factory New)|Restricted|120|Nova|0.50|0.05|41.00
SCAR-20 | Crimson Web (Factory New)|Mil-Spec|121|SCAR-20|0.03|0.29|65.00
G3SG1 | Desert Storm (Factory New)|Consumer Grade|122|G3SG1|0.09|0.21|86.00
Souvenir G3SG1 | Desert Storm (Factory New)|Consumer Grade|122|G3SG1|0.09|0.21|86.00
P250 | Sand Dune (Factory New)|Consumer Grade|123|P250|0.11|0.29|187.00
Souvenir P250 | Sand Dune (Factory New)|Consumer Grade|123|P250|0.11|0.29|187.00
Sawed-Off | Snake Camo (Factory New)|Industrial Grade|124|Sawed-Off|0.11|0.35|117.00
Souvenir Sawed-Off | Snake Camo (Factory New)|Industrial Grade|124|Sawed-Off|0.11|0.35|117.00
SG 553 | Damascus Steel (Factory New)|Mil-Spec|125|SG 553|0.33|0.01|68.00
Souvenir SG 553 | Damascus Steel (Factory New)|Mil-Spec|125|SG 553|0.33|0.01|68.00
AK-47 | Safari Mesh (Factory New)|Industrial Grade|126|AK-47|0.14|0.27|95.00
Souvenir AK-47 | Safari Mesh (Factory New)|Industrial Grade|126|AK-47|0.14|0.27|95.00
SCAR-20 | Sand Mesh (Factory New)|Consumer Grade|127|SCAR-20|0.11|0.31|80.00
Souvenir SCAR-20 | Sand Mesh (Factory New)|Consumer Grade|127|SCAR-20|0.11|0.31|80.00
Five-SeveN | Orange Peel (Factory New)|Industrial Grade|128|Five-SeveN|0.06|0.61|139.00
Souvenir Five-SeveN | Orange Peel (Factory New)|Industrial Grade|128|Five-SeveN|0.06|0.61|139.00
P2000 | Amber Fade (Factory New)|Restricted|129|P2000|0.10|0.40|86.00
Souvenir P2000 | Amber Fade (Factory New)|Restricted|129|P2000|0.10|0.40|86.00
P90 | Sand Spray (Factory New)|Consumer Grade|130|P90|0.11|0.35|99.00
Souvenir P90 | Sand Spray (Factory New)|Consumer Grade|130|P90|0.11|0.35|99.00
MP9 | Sand Dashed (Factory New)|Consumer Grade|131|MP9|0.11|0.40|101.00
Souvenir MP9 | Sand Dashed (Factory New)|Consumer Grade|131|MP9|0.11|0.40|101.00
PP-Bizon | Brass (Factory New)|Mil-Spec|132|PP-Bizon|0.15|0.36|70.00
Souvenir PP-Bizon | Brass (Factory New)|Mil-Spec|132|PP-Bizon|0.15|0.36|70.00
MAC-10 | Palm (Factory New)|Industrial Grade|133|MAC-10|0.12|0.29|154.00
Souvenir MAC-10 | Palm (Factory New)|Industrial Grade|133|MAC-10|0.12|0.29|154.00
Tec-9 | VariCamo (Factory New)|Industrial Grade|134|Tec-9|0.11|0.25|107.00
Souvenir Tec-9 | VariCamo (Factory New)|Industrial Grade|134|Tec-9|0.11|0.25|107.00
Nova | Predator (Factory New)|Consumer Grade|135|Nova|0.10|0.37|83.00
Souvenir Nova | Predator (Factory New)|Consumer Grade|135|Nova|0.10|0.37|83.00
M4A1-S | VariCamo (Factory New)|Mil-Spec|136|M4A1-S|0.11|0.27|128.00
Souvenir M4A1-S | VariCamo (Factory New)|Mil-Spec|136|M4A1-S|0.11|0.27|128.00
XM1014 | CaliCamo (Factory New)|Industrial Grade|137|XM1014|0.08|0.37|123.00
Souvenir XM1014 | CaliCamo (Factory New)|Industrial Grade|137|XM1014|0.08|0.37|123.00
Tec-9 | Groundwater (Factory New)|Consumer Grade|138|Tec-9|0.23|0.23|120.00
Souvenir Tec-9 | Groundwater (Factory New)|Consumer Grade|138|Tec-9|0.23|0.23|120.00
Sawed-Off | Full Stop (Factory New)|Mil-Spec|139|Sawed-Off|0.03|0.51|82.00
Souvenir Sawed-Off | Full Stop (Factory New)|Mil-Spec|139|Sawed-Off|0.03|0.51|82.00
AUG | Contractor (Factory New)|Consumer Grade|140|AUG|0.23|0.07|76.00
Souvenir AUG | Contractor (Factory New)|Consumer Grade|140|AUG|0.23|0.07|76.00
M4A1-S | Boreal Forest (Factory New)|Industrial Grade|141|M4A1-S|0.15|0.27|96.00
Souvenir M4A1-S | Boreal Forest (Factory New)|Industrial Grade|141|M4A1-S|0.15|0.27|96.00
FAMAS | Colony (Factory New)|Consumer Grade|142|FAMAS|0.14|0.33|150.00
Souvenir FAMAS | Colony (Factory New)|Consumer Grade|142|FAMAS|0.14|0.33|150.00
